timestamp,test-class,test-method,time,description,result
2021-08-09 13:40:17.833,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3738,"[1] index=0, username=anonymous, name=John, surname=Doe",OK
2021-08-09 13:40:21.768,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3706,"[2] index=1, username=administrator, name=Administrator, surname=Acme.com",OK
2021-08-09 13:40:25.731,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3738,"[3] index=2, username=manager1, name=Jhon, surname=Lock",OK
2021-08-09 13:40:29.719,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3760,"[4] index=3, username=manager2, name=Pepe, surname=Lock",OK
2021-08-09 13:40:30.153,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listNegative,238,"listNegative()",OK
2021-08-09 13:40:43.294,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5256,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-08-09 13:40:48.911,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5357,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-08-09 13:40:54.375,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5238,"[3] recordIndex=2, username=manager1, name=Jhon, surname=Lock, email=jhonlock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-08-09 13:40:59.775,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5180,"[4] recordIndex=3, username=manager2, name=Pepe, surname=Lock, email=pepelock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-08-09 13:41:00.248,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updateNegative,253,"updateNegative()",OK
2021-08-09 13:41:15.727,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7640,"[1] index=0, title=Create ShoutValidators, executionStart=2022/08/13 19:39, executionEnd=2023/10/13 19:39, workload=120.0, description=Create validators of task entity, link=https://github.com/task25, isPublic=true",OK
